traffic_report_id,published_date,issue_reported,latitude,longitude,address,traffic_report_status,hour
C0A117EEA10D8F6BCEF0D75F59157B6C33EBF591_1717200046,2024-06-01 00:00:46+00:00,Crash Urgent,30.259584,-97.753482,BOULDIN AVE / BARTON SPRINGS RD,ARCHIVED,0
77BA9CD915C8E359D9733EDCFE9C61E5ACA92AFB_1717201164,2024-06-01 00:19:24+00:00,Crash Urgent,30.273707,-97.763318,W 5th St / West Lynn St,ARCHIVED,0
9521E2BCC9C0DE945CCF68B52345097002B66BA5_1717201293,2024-06-01 00:21:33+00:00,Traffic Hazard,30.28575,-97.722461,1300 E 28th St,ARCHIVED,0
BE2608CD9B0E64302FCB6170D889D6A11E1EBDD7_1717201711,2024-06-01 00:28:31+00:00,COLLISION,30.300825,-97.493145,HOG EYE RD / LOCKWOOD RD,ARCHIVED,0
301F839B74B67350B1BDC01050369AEC1F36E0D2_1717201767,2024-06-01 00:29:27+00:00,Crash Service,30.182321,-97.847115,3324 W Slaughter Ln,ARCHIVED,0
55B3E95B981CC5C1C430E9114425358B64E45D85_1717203016,2024-06-01 00:50:16+00:00,Crash Urgent,30.368568,-97.680452,E Applegate Dr / Middle Fiskville Rd,ARCHIVED,0
1A5270E66ED4CA6B0227A4EBF6A959157221262B_1717203265,2024-06-01 00:54:25+00:00,Crash Urgent,30.339988,-97.698974,7817-8011 N Ih 35 Svrd Nb,ARCHIVED,0
749FA825D1F9D8E78BD2495940F92586C04EF35A_1717203290,2024-06-01 00:54:50+00:00,Traffic Hazard,30.167056,-97.788541,W Slaughter Ln / S Congress Ave,ARCHIVED,0
C46908D2D41F34D665E249864E018BADD8BE32FD_1717204338,2024-06-01 01:12:18+00:00,Traffic Hazard,30.215583,-97.738074,2100-2425 E Ben White Blvd Eb,ARCHIVED,1
F85AE74DB48DB6D5D3B4F329C93161754DE0AB2A_1717205799,2024-06-01 01:36:39+00:00,TRFC HAZD/ DEBRIS,30.420196,-97.629341,14800-14948 DESSAU RD,ARCHIVED,1
BB7E0878197E923C50408C8CCCEDB73E9630A7F8_1717206672,2024-06-01 01:51:12+00:00,Traffic Hazard,30.320832,-97.75574,4500 N Mopac Expy Nb,ARCHIVED,1
E6CFA8E4A054B888D7A80898D1A7092AA631A302_1717206990,2024-06-01 01:56:30+00:00,Crash Urgent,30.252712,-97.763773,1414 S LAMAR BLVD,ARCHIVED,1
CE5C9036ECFE0BDD8F6404EC25D96B1EE0CC28F4_1717207046,2024-06-01 01:57:26+00:00,COLLISION,30.398299,-97.856851,6600-6711 N FM 620 RD,ARCHIVED,1
9E0A916215D99196F44821DFC348C2843EE5B5A7_1717207058,2024-06-01 01:57:38+00:00,Crash Urgent,30.397919,-97.855927,11500-11525 620 To 2222 Bypass,ARCHIVED,1
C718AA30A6FF882B7087CE4F1567E335EA77186E_1717207464,2024-06-01 02:04:24+00:00,Crash Urgent,30.353207,-97.752922,3437-3543 Far West Blvd,ARCHIVED,2
CE992F0CFC154989B728650A32B4E4702E47C9AA_1717207840,2024-06-01 02:10:40+00:00,VEHICLE FIRE,30.422508,-97.924423,16028 POOL CANYON RD,ARCHIVED,2
9F7F230B6748530889D6D498FF5F5E2934FDBE69_1717208594,2024-06-01 02:23:14+00:00,Traffic Hazard,30.26167,-97.73603,71-321 N IH 35 NB,ARCHIVED,2
2F2D523C34AC34442D518810A10F44FED3AB95CA_1717208839,2024-06-01 02:27:19+00:00,LOOSE LIVESTOCK,30.107029,-97.694661,MAHA LOOP RD / S US 183 HWY,ARCHIVED,2
FE286D02F80118DE47F2226C2FCE9F7BE0BC04F0_1717208884,2024-06-01 02:28:04+00:00,Traffic Hazard,30.151696,-97.764825,9509 Old Lockhart Rd,ARCHIVED,2
C04038A9EFD402B01F5733A5DF5E0248D29A1AD8_1717208895,2024-06-01 02:28:15+00:00,Crash Urgent,30.478487,-97.801533,14063-14635 N 183a Hwy Nb,ARCHIVED,2
45CA1D224FB0223C3AC72019EC9AFE243D11E029_1717209162,2024-06-01 02:32:42+00:00,Crash Service,30.17619,-97.8225,9429-9613 Menchaca Rd,ARCHIVED,2
311FD155BAFBC7FD0A5DB010F80D9090F1E689DE_1717209247,2024-06-01 02:34:07+00:00,COLLISION,30.37684,-97.890686,EPPERSON TRL / STEINER RANCH BLVD,ARCHIVED,2
060C7C9AEA07BD061C43B93A8D51CC043855D7A3_1717209899,2024-06-01 02:44:59+00:00,Crash Urgent,30.190786,-97.744729,5603-5799 S Pleasant Valley Rd,ARCHIVED,2
23BFD8A26FDEAA0CCF8A0B3F8705506064A99BA0_1717210503,2024-06-01 02:55:03+00:00,Crash Service,30.398733,-97.746454,10732 Research Blvd Svrd Sb,ARCHIVED,2
89D89E5773C4210782AA5783B7DFBA5E0AF85CCC_1717211248,2024-06-01 03:07:28+00:00,Stalled Vehicle,30.224072,-97.701084,6600 E Riverside Dr,ARCHIVED,3
CEF239141C378CC0998E5F526985C2D57C535D6C_1717211971,2024-06-01 03:19:31+00:00,Crash Urgent,30.426334,-97.675966,1501 W Howard Ln,ARCHIVED,3
