Test ID,GWD (m),Elevation,L (km),Slope (%),PGA (g),Target
182,0.370808691,0.909115791,0.319116999,5.465738773,0.546270251,0
15635,1.300895929,1.123009086,0.211770466,0.905948281,0.532398283,0
8292,1.300895929,0.847857535,0.19594725,0.849103987,0.532398283,0
15629,1.788212299,2.044325113,0.115795053,0.45103392,0.542306662,0
183,1.637517214,2.003796577,0.137265348,0.94186604,0.545783579,1
158,1.165642977,0.992153585,0.073885082,2.69928956,0.535794199,0
180,2.121363878,1.933610797,0.119745095,1.187781334,0.528980136,0
173,1.288666368,1.191561103,0.040633052,2.766043186,0.539045095,1
161,1.88451457,1.692008376,0.064008642,0.173424989,0.535901964,1
179,1.482129693,1.488146544,0.003208724,3.220947981,0.539283395,1
170,1.809964061,2.104902506,0.007098528,1.904443383,0.532439411,0
184,1.809964061,2.104902506,0.007098528,1.904443383,0.532439411,0
178,1.723188996,1.754743457,0.00753897,0.962259591,0.535901964,1
15767,1.120904207,1.488165259,0.043390474,0.580253124,0.542621434,0
38484,2.418100834,3.392663002,1.506731321,0.892346978,0.397815257,0
25645,2.418100834,3.367697954,1.496243005,1.016843915,0.397815257,0
38483,2.390335083,3.292109013,1.507054125,1.384756446,0.400288016,0
38482,2.368753433,3.285925388,1.48935313,0.582385719,0.400288016,1
43479,1.611433148,2.914044142,1.454624037,1.832709789,0.400288016,0
26301,1.280091166,2.212277889,1.524680397,1.353169441,0.397167951,1
25647,2.318737507,3.224749565,1.469793515,0.267053276,0.400288016,0
38706,1.516597867,2.307100296,1.491573816,2.303804636,0.397167951,1
34643,1.516597867,2.307100296,1.491485173,2.303804636,0.397167951,1
33251,1.671823025,2.507290602,1.410880415,0.946592093,0.403432131,0
43739,1.274946451,2.129719734,1.520266991,0.142425582,0.397167951,1
38707,1.476430535,2.226715088,1.483922478,1.819276214,0.397167951,1
34644,1.476430535,2.226715088,1.483939769,1.819276214,0.397167951,1
34645,1.961728096,2.652082205,1.458742884,2.604229689,0.400288016,1
38708,1.961728096,2.652082205,1.458654985,2.604229689,0.400288016,1
33252,1.540102124,2.598547697,1.401293913,0.9593575,0.403432131,0
43740,1.417785645,2.261754274,1.501037692,0.181400254,0.397167951,1
43738,1.368857861,1.986423016,1.482893283,1.211723089,0.397167951,1
17688,1.368857861,1.952880025,1.473343826,1.211723089,0.397167951,1
17643,1.639913082,2.4586339,1.376920908,1.608679295,0.400288016,0
40731,1.417785645,2.259871006,1.489232213,0.515836895,0.397167951,1
40011,2.287996054,3.104908943,1.395079051,1.182376385,0.400288016,1
25663,1.862063408,2.806289196,1.336449127,0.235652626,0.403432131,0
40734,1.368857861,2.302582741,1.470093944,0.900339067,0.397167951,1
33312,1.809411287,2.776405573,1.340759494,0.511037529,0.403432131,0
50447,1.381860971,2.212928295,1.468715798,0.515836895,0.397167951,1
25665,1.962589025,2.852240086,1.322103184,0.235652626,0.403432131,0
37962,1.977387667,2.868956327,1.311429266,0.388143659,0.403432131,0
22298,2.087969303,2.848798037,1.357440363,1.883031487,0.400288016,1
22297,2.282222986,3.029010773,1.367229967,0.85599488,0.400288016,1
27710,1.95915246,2.764889956,1.339416577,1.441653967,0.403432131,0
16628,1.623625994,2.313437223,1.393918357,2.76104188,0.400288016,1
17184,1.623625994,2.313437223,1.393918357,2.76104188,0.400288016,1
50446,1.381860971,2.178912878,1.458774653,0.510254562,0.397167951,1
25669,1.623625994,2.29284215,1.393722066,1.354122996,0.400288016,1
6299,1.834730983,2.891213894,1.280704493,1.085586548,0.406612396,0
22299,2.282222986,3.090821028,1.352396634,0.830984652,0.400288016,0
27825,2.104935646,3.009106398,1.273529328,0.407523811,0.409068912,0
43757,2.161094189,2.790168285,1.3270185,2.454272985,0.402736336,0
27823,2.104935646,3.077856541,1.251001162,0.609511912,0.405888289,0
30102,1.844150543,2.714781046,1.282722591,0.904006362,0.405888289,0
43758,2.112471342,2.826687336,1.316885817,1.983669639,0.402736336,0
18962,1.826566577,2.40162015,1.26340104,1.285456777,0.405888289,0
20925,1.826566577,2.40162015,1.26340104,1.285456777,0.405888289,0
29280,1.841656923,2.713583231,1.284603583,0.904006362,0.405888289,0
4666,1.564909458,2.345477581,1.287971756,0.196051493,0.405888289,0
25156,1.640043378,2.29714942,1.320171921,2.041700363,0.402736336,0
4434,1.507806063,2.194950104,1.36655064,1.425258636,0.399596095,1
43887,1.694537163,2.442593575,1.215184164,1.946568847,0.405888289,0
30104,1.507806063,2.147447824,1.354966532,1.524629593,0.399596095,1
4982,1.577517986,2.617913008,1.191034386,2.644840956,0.409068912,0
28541,1.255047798,2.126682997,1.289245373,1.380753398,0.402736336,0
4984,1.747346997,2.529650688,1.236915884,1.018433571,0.405888289,0
28540,1.255047798,2.170044661,1.281249377,0.781044841,0.402736336,0
25691,1.305158615,2.114336014,1.311291184,0.807624936,0.402736336,1
25692,1.24974227,1.893905759,1.301826036,0.07137078,0.402736336,1
17677,1.255047798,1.837335706,1.289707459,1.380753398,0.402736336,0
43888,1.694537163,2.456794262,1.202108572,0.992008626,0.405888289,0
30108,1.418777227,2.260019302,1.363330594,0.824107468,0.399596095,1
29288,1.57689786,2.382346392,1.25420132,0.218490437,0.402736336,0
43892,1.507806063,2.114774704,1.345018258,1.158615232,0.399596095,1
22350,1.457410336,2.25009203,1.263482263,0.424546152,0.402736336,0
4713,1.507806063,2.134371996,1.337996608,1.158615232,0.399596095,1
29285,1.589925528,2.390904665,1.237957852,0.267730623,0.402736336,0
22351,1.481057048,2.25195694,1.25753678,1.49476254,0.402736336,0
43647,1.487533092,2.168891191,1.275018675,1.498773694,0.402736336,1
39884,1.511327744,2.034265995,1.213220772,1.273044586,0.405888289,0
4981,1.586341858,2.328535557,1.169035545,1.109703779,0.405888289,0
51721,1.246087193,2.061386824,1.256243103,1.285247445,0.402736336,1
4649,0.846886039,1.718924284,1.127154038,0.738023937,0.409068912,0
15984,0.846886039,1.718924284,1.127154038,0.738023937,0.409068912,0
39882,1.368932009,2.153505802,1.168557358,1.184903502,0.405888289,0
25167,1.505043983,2.257682085,1.283075582,0.843724012,0.399596095,1
37112,1.327330112,2.215149403,1.324141574,2.552774429,0.399596095,1
37111,1.308411837,2.087547302,1.296999232,0.761764526,0.399596095,1
38480,1.597990274,2.345124722,1.137893634,0.397090495,0.409068912,0
38479,1.402536869,2.207638979,1.119604897,1.191735744,0.409068912,0
37119,1.550678968,2.353412867,1.185873487,0.634793758,0.402736336,0
37118,1.550678968,2.238096476,1.176096907,1.218235612,0.405888289,0
38481,1.597990274,2.38898015,1.123672036,0.397090495,0.409068912,0
16972,1.298338652,2.352112293,1.091863419,2.672034979,0.409068912,0
16971,0.803721428,1.53870523,1.089683701,1.833517075,0.411497533,0
25704,1.60231328,2.336185694,1.112294095,0.192379549,0.411497533,0
32773,1.555778742,2.191109657,1.209187866,0.562798142,0.405153751,0
33311,1.582794905,1.986487746,1.149289726,1.515230775,0.408313572,0
17679,1.372362614,2.009072542,1.186333969,0.398391485,0.405153751,0
32776,1.565967321,2.238477468,1.210890212,0.235401854,0.405153751,0
41221,1.554062128,2.203037024,1.260502919,0.330357283,0.401998222,0
32774,1.372362614,2.157356501,1.188112684,1.166484714,0.405153751,0
43455,1.565967321,2.26666975,1.212904629,0.351219803,0.405153751,0
41222,1.554062128,2.177752018,1.269960075,0.696310878,0.401998222,0
32775,1.555778742,2.323952436,1.190529397,0.431863934,0.405153751,0
16629,1.171778202,2.136374474,1.065072082,0.632753968,0.411497533,0
37343,1.485307455,2.204166889,1.10026005,1.810874104,0.408313572,0
10775,1.586882949,2.228402376,1.162323511,0.723628521,0.405153751,0
4435,1.517963886,2.135601997,1.206537372,1.125480533,0.401998222,0
30105,1.568930864,2.226562738,1.229000675,0.127090067,0.401998222,0
50432,1.30223012,2.392404795,1.043357664,1.142205238,0.411497533,0
20932,1.14975965,1.898877859,1.074314483,0.617144823,0.408313572,0
18963,1.14975965,1.898877859,1.073801506,0.617144823,0.408313572,0
39883,1.14975965,1.819591641,1.077094455,0.617144823,0.408313572,0
50433,1.678320646,2.426881075,1.026364097,1.142205238,0.411497533,0
30100,1.50615871,2.075929642,1.070877735,1.230197906,0.408313572,0
51767,1.548643827,2.282963991,1.204869038,0.589842737,0.401998222,0
40932,1.651462674,2.311810017,1.102163653,0.169193164,0.405153751,0
50434,1.408836365,2.269939423,1.015481423,2.725604773,0.411497533,0
40931,1.665024519,2.358869791,1.072294673,0.272512317,0.408313572,1
23699,2.046736717,2.447652817,0.555326563,0.425785542,0.430944085,1
15686,2.046736717,2.519347906,0.533613323,0.601897538,0.430944085,1
7645,1.080213785,3.697681189,2.263344502,0.332548052,0.374729127,0
51752,1.50615871,2.17575407,1.045535354,1.067304373,0.408313572,0
15685,2.118737698,2.367121458,0.39989103,0.183683008,0.434205651,1
25721,1.209136009,2.141225576,1.188432294,2.68454504,0.401998222,1
7638,1.656910181,3.694288492,2.232164577,0.237357065,0.374729127,0
4436,1.542395234,2.232405901,1.092933405,1.797834873,0.405153751,1
15687,1.95085144,2.694266081,0.729581851,0.206962883,0.424421221,1
4437,1.527167082,2.251016617,1.140114841,1.052813172,0.401998222,1
25724,1.599917889,2.132443905,1.168262083,0.659164011,0.401998222,1
43865,1.527167082,2.173052549,1.131404049,1.250954151,0.405153751,1
28566,1.597416878,2.063243151,1.070381105,1.110070348,0.405153751,1
343,1.304017901,1.84246695,1.101747264,1.388007402,0.405153751,1
31794,1.319173098,2.237915039,1.147717457,2.621317863,0.401998222,1
5254,1.37968123,1.892415643,1.06028107,1.281738997,0.407550097,1
